"","Planner Group code","Satindex"
"1323","411",4
"1324","412",2.71428571428571
"1325","412",4
"1326","412",5
"1327","412",3.42857142857143
"1328","411",4
"1329","412",5
"1330","412",4.71428571428571
"1331","412",5
"1332","412",4
"1333","41B",2.42857142857143
"1334","41A",4.71428571428571
"1335","41A",5
"1336","41A",2.57142857142857
"1337","41A",3.14285714285714
"1338","41B",5
"1339","41A",4
"1340","41B",5
"1341","41A",5
"1342","41B",2.28571428571429
"1343","41A",5
"1344","41B",4.42857142857143
"1345","41A",5
"1346","41A",4.85714285714286
"1347","41B",1.85714285714286
"1348","432",5
"1349","432",5
"1350","431",2.57142857142857
"1351","431",2.71428571428571
"1352","431",4.42857142857143
"1353","432",5
"1354","431",5
"1355","432",4.14285714285714
"1356","432",5
"1357","432",4.85714285714286
"1358","432",3.14285714285714
"1359","432",5
"1360","432",4
"1361","431",3.57142857142857
"1362","432",5
"1363","432",5
"1364","432",1.71428571428571
"1365","432",5
"1366","431",3.42857142857143
"1367","442",5
"1368","442",4
"1369","442",4.42857142857143
"1370","442",4
"1371","442",5
"1372","442",5
"1373","442",5
"1374","442",5
"1375","47B",3.57142857142857
"1376","481",5
"1377","481",5
"1378","481",4
"1379","481",2.28571428571429
"1380","481",3.57142857142857
"1381","481",5
"1382","46A",2.57142857142857
"1383","612",4.42857142857143
"1384","611",4.42857142857143
"1385","611",2.71428571428571
"1386","611",5
"1387","61A",3.85714285714286
"1388","61A",1
"1389","61A",5
"1390","61A",3.85714285714286
"1391","61A",3.57142857142857
"1392","622",4
"1393","622",5
"1394","621",1.28571428571429
"1395","622",3.14285714285714
"1396","622",3.14285714285714
"1397","621",5
"1398","622",4
"1399","623",5
"1400","621",3.14285714285714
"1401","621",5
"1402","62A",3
"1403","62A",5
"1404","62A",4
